Designator,Mid X,Mid Y,Rotation,Layer
U$11,186.107856,-122.555,180.0,top
U$12,78.74,-80.01,90.0,top
U$13,80.01,-100.6,0.0,top
U$14,93.345,-132.6281,270.0,top
U$16,142.875,-127.635,180.0,top
U$2,116.84,-108.188125,180.0,top
U$3,147.531606,-65.0875,0.0,top
U$4,121.285,-132.6281,270.0,top
U$5,223.414106,-78.58125,180.0,top
U$6,196.267856,-78.58125,180.0,top
U$7,179.122856,-134.3025,90.0,top
U$8,247.790762,-62.23058,0.0,top
U$9,129.54,-50.292,90.0,top
U1,156.21,-132.715,90.0,top
U2,136.589074,-107.326938,180.0,top
USB1,129.592856,-44.935775,270.0,top
X1,96.635,-46.725,0.0,top
X2,160.231606,-50.4825,180.0,top
